cell,stage,arm,role,theorem,replicate,failed,solved,cost,uncached_cost,receipts,requests,input,cached,output,artifact_sha256,input_sha256,result_sha256,proof_sha256,cache_sha256
round2__revised__proof__aime_1988_p3__seed0,round2,revised,proof,aime_1988_p3,0,False,True,0.0021295000000000003,0.0048502,1,1,16571,15115,1280,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,5ccacea5abd7af79ba49873516a4ef2d6e3f22b70caf7ad9bdd0fc3d5ecbae3c,20567a46183042a311a344fc7bf94c1497fe727d4b87a553016dc6eed8f958dc,3582857a65e000a9187f70ab212c2070d9a7cfb00418568dc200fb0d95ddd4ab,3742f51148ce6a863926db51253e9ca16ccca625391af1561d0de1dd8d3ca51a
round2__revised__proof__imo_1963_p5__seed0,round2,revised,proof,imo_1963_p5,0,False,True,0.01634946,0.05388,12,12,234996,208503,5734,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,731f2d54832926d0876fce6a5103627703809c64c3ae16b2e807c8aaf31e3070,152e0af109b166cc79f8a832de3f5562341f87552cc196dd2b985478087ffc1d,4d8c29312a3af3a6b50af24f4da9d94d4e54a5349da9a30a8db1d5a0045edf1e,c2d2fe421c9d1dc278f0dcd17b22e594d5c2bec4dc8845d11971c77b66b8e733
round2__retained__proof__imo_1963_p5__seed0,round2,retained,proof,imo_1963_p5,0,False,True,0.0336073,0.0722452,17,17,294266,214655,11160,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,f57e0dc7f30c12c340e37511db09e008d844d0eae3d57a6f0db37127a35ab909,6f909c0be456fda21d4b7cbbd6314088f17b6a052312d76a7a48bb6a159efb66,d10e71d052dad3d2b197b3b1e5f9a3a1ba58615b443286c3901814f1477b7903,6790143872446ba68ca6519249009f53acc4b163de0c15814ce31b8267dc1e06
round2__retained__proof__amc12b_2004_p3__seed0,round2,retained,proof,amc12b_2004_p3,0,False,True,0.04530094,0.09737799999999999,19,19,390692,289317,16033,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,65650b94a068b0d752dc978d01924ab359500a0f8ad590dc1885123c73f27230,78463e84dc638e3613a166c5ec70973c351efd99362cd56a64ab7b8e60fd03d1,1415eb5d17e5d0d81e0a7c59160039885551a0b1da7cfd670e2f8dc24faac92c,0b380cd7e1466f05aeb655ca9a4e31865e2a75f8be8c99a6ef8dd03a4373cd24
round2__revised__proof__amc12b_2004_p3__seed0,round2,revised,proof,amc12b_2004_p3,0,False,False,0.04592132,0.1125584,20,20,465646,370206,16191,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,139bbc1fd3b15bb8622b93920d25110a396f1d1131bb1d9a53ec30ad34722faa,092c46b03dbfd8fccec933a819ce06e0804c85630bd1c66732b1040e4cd003f0,,527a21bc29813086ba5a8f008f3593ae6335a7016a3018c20104b40acd632ff0
round2__revised__proof__mathd_algebra_206__seed0,round2,revised,proof,mathd_algebra_206,0,False,True,0.0007825,0.0035031999999999997,1,1,16436,15115,180,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,4d4acc7a13aa7f5bd8df8df8fb2e65cf1019f50db0149763c863e40d0b216048,e9255f43862eea70c64720de44e9d910791f0e4df84d382b463f47e81abb0913,319e4c39b8fa2323c33add715794f7fc37619e5a4f18b528905e7422ef2351f1,f85236993d319489a15ccd550cbaacd51d9e5f618330d4f7c9a0371501233882
round2__retained__proof__mathd_algebra_206__seed0,round2,retained,proof,mathd_algebra_206,0,False,True,0.00183998,0.0039656,1,1,11812,11809,1336,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,a3506057e1014c9a00a3d3b1b25a3e1ea7576cd9c54119ee8b98f029f447c0ba,588299e45b480a72baf71dd97819a81ade743661e403e67bfe8414d809fd4717,20e72793b2e863359c357839853e776ed6bfe0bd38c83f32881cce0189e6fa15,4f7bac2359c2444cc280f7a8686fc764db7d40b911c5dc3158f6dee5335f79be
round2__revised__proof__aime_1990_p4__seed1,round2,revised,proof,aime_1990_p4,1,False,True,0.01012742,0.027670399999999998,6,6,112780,97461,4262,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,ada50d37a3dffca515aff462c675893c975d0518f6b090fc30e5a33f6317b54a,14708b399c854c57b9163ddc491e38a2839560463c42833a2cff79fb33a48c43,10371a4f9477170a49e295b0c071730d0fcbe26f1dbc441ef4aab775cbb8db9c,9a18a134115c131220f8d7560248961e98b15dca51308e8291f91e778913b1b1
round2__retained__proof__aime_1990_p4__seed1,round2,retained,proof,aime_1990_p4,1,False,True,0.01427818,0.031215999999999997,8,8,124436,94099,5274,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,999740b13bb239fdff4b88fccb11aeaa42a2d948f594524b60a96c9b6c3ebe4a,8b88372687533a6c34b47271df30c3969bf92a3ecb4b3293c5979a559d1511ed,ff48e003b5a2f1c6963ac11f0f5e884740432299d2cee66be1b48dfb1d84648d,3598854f18f04438ecd5bdbd5e3f84b6d74676d3334bc00e8bea0e5a7b3d0071
round2__retained__proof__mathd_numbertheory_458__seed1,round2,retained,proof,mathd_numbertheory_458,1,False,True,0.00109816,0.0052936,2,2,23558,23308,485,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,45ffe3ae24094fe654b3971f160645115f9995299d495fa4f261fa011cd2ba61,cb411399f5c98047d3eb9c79502d63ccc086bbe4555ad6040b48bc4242ecc798,dbb829f178f57b957d690a004827d2c69c68f5b5bcb568ac13035e0bfca24fe1,81bab372d309488380f90c7c733d7a6dfeeb1362b4ba6c8a3503e521162871ba
round2__revised__proof__mathd_numbertheory_458__seed1,round2,revised,proof,mathd_numbertheory_458,1,False,True,0.00113532,0.006995400000000001,2,2,32793,32556,364,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,aac324f0db222ff77d7b9c075864cef61af708e5d73ad2e9ffc88b03d39f0f02,85f8540b86569c187c50b57386f804bb9d83785aca2ed2a0393f70c8670d3fd7,674cff5dacc045f9d8b197a4f0d17747094396c73059ac4671c7ebff5aac91dc,5535c6ff1cfabf46c4a7b010afa9bef40e0114dc5e5196de94da381878bb3ec8
round2__revised__proof__imo_1967_p3__seed1,round2,revised,proof,imo_1967_p3,1,False,False,0.06008018,0.1495076,26,26,647944,496819,16599,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,87d2a36d77996a14569cdb659c1e011d0c262af33fd03b55591edbc79d6c341d,c88a5097cef3f82e7bbd7ad8e0c632ec79cf4c5ec464bad61ba384a02b62130a,,dbec96839067b58a79d84080878d4f8a842b37c025524d7befd9f47f31f38657
round2__retained__proof__imo_1967_p3__seed1,round2,retained,proof,imo_1967_p3,1,False,False,0.06178914,0.1277154,24,24,525093,366257,18914,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,9e17bb8450d8d9b7b11f7dbe53adba8afbf55c640e74c378b0d1f0451e39f96a,c3b10cc2cd60a11d54457415037867944b6451a4f139feef38b069f54cf64f46,,6a2602feb0e05a4d87a8e8068bd13ae6eb642eac5948df2deaa2ec2cc2387105
round2__retained__proof__imo_1977_p6__seed1,round2,retained,proof,imo_1977_p6,1,False,False,0.056104379999999995,0.1377504,26,26,536046,453589,25451,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,ec885ac7530f88bd72ab52eb26bd88817e5f56ce01d0482794effbf8b338ef44,34fe8003c90ad2f8883ea2b1ddb2a7a8fdca0802850e9d4efcb97ae4a23f4b07,,349af1d171d2eb709c99b3d07acdce880b4051b8bddc7ee8a57b90ec76939ec1
round2__revised__proof__imo_1977_p6__seed1,round2,revised,proof,imo_1977_p6,1,False,False,0.05855476,0.10166979999999999,14,14,353027,239528,25887,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,e90858836a7b8a3089f2a1bd094808d3b08ed2d4bb7c7b00aa6fbe3f080b1d05,25f5e2d187077aa6ad4f9e168cc09f653d72a6ed0f954a0d5b2860a92a9bbb2e,,9d56c19107b5915dd245cb593bbf643f06343e358c8380330411f52d14d39c5d
round2__revised__proof__mathd_algebra_37__seed1,round2,revised,proof,mathd_algebra_37,1,False,True,0.00048798000000000005,0.0034056,1,1,16212,16209,136,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,f128bf410ab16d629dbe59a3a50bd66f60542142c74875ef42535584e870e7a6,44603f0d7a0788bfd8c920e043f543d48b753cde16691d02fcd7a3521735b11f,8890c5ea088f3234ae2893ea758db6684c1277648894e5608503f6b7a2c8d415,9d067cbc4891e41e8babb255eeed84f6b73e8045e64262e1944c56aa76b0395d
round2__retained__proof__mathd_algebra_37__seed1,round2,retained,proof,mathd_algebra_37,1,False,True,0.00043269999999999995,0.002518,1,1,11588,11585,167,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,39f29bb3d7c734b8aac3abf6018a504e9c41af307d9fd3bf83dd1188fb7a0896,5f22c3ce3bff18617ec9974ac584f20a1c601578410afef5f3e8e2169f30f284,8890c5ea088f3234ae2893ea758db6684c1277648894e5608503f6b7a2c8d415,85168b4052462a5d79685e0991977d48f5dfe03c97b50ff8c4d73cc4dcf84f47
round2__retained__proof__mathd_numbertheory_221__seed1,round2,retained,proof,mathd_numbertheory_221,1,False,True,0.0003827,0.002504,1,1,11788,11785,122,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,a2cc112a9fc55efef5989180571123f906126ef75a63a01a14f458334bb5a0b8,36c0595039fb582e32f5961f2246809a8b797e5d8841b2d0bac85ab3fda4e727,7825dd8dbf60f18c9147692491c3ca5768ae3b745cd0fe9c83c01baac59a6cd7,299d58a634334be332907ada0377dc677bed342bb6b7400c648d47719cedd1fc
round2__revised__proof__mathd_numbertheory_221__seed1,round2,revised,proof,mathd_numbertheory_221,1,False,True,0.00054838,0.003502,1,1,16412,16409,183,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,b8e1e90f82e9a56566859278e475bca4f898988e1270676cd4eb4bfa270a6a76,a8728ec1cc07833e8b9e1dd5b42346d341c6a0c9e87e23ce62989e171f640eda,7825dd8dbf60f18c9147692491c3ca5768ae3b745cd0fe9c83c01baac59a6cd7,9aa2338a0f75f9c75d49b91e89e46693c45afd8f21dfeaf7350143c690850350
round2__revised__proof__mathd_numbertheory_326__seed1,round2,revised,proof,mathd_numbertheory_326,1,False,True,0.00046298,0.0033932,1,1,16282,16279,114,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,b506e4c675c98336cc9d0de9b7fe6ee546b1dd92881c0337d28361980db8db7c,648a4a8115c99c868ebc46b3e66b8b1fd5f84afe0b3b665f8fe837af26cef3f8,cf007c323ef41bd72d13634364ff9b4c3400391a4fa0481074ae0ed6f2cae1b3,a50a56bb950234de826bdce89aa3c819e3be6e89ab044be80a96f8228f829135
round2__retained__proof__mathd_numbertheory_326__seed1,round2,retained,proof,mathd_numbertheory_326,1,False,True,0.0003477,0.0024456,1,1,11658,11655,95,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,c811f2560c1b585741b03cacd8baffb2930ab8067aad4625d11212bfbd153c9e,9af5d68e70a192834af9f8f41d901ba7cfa84daa9072b092319e2afc3d2085e7,cf007c323ef41bd72d13634364ff9b4c3400391a4fa0481074ae0ed6f2cae1b3,4b7954267a9dc8f4b4fb532a72e3df309851c45dea6a6a0da863fa28d3a391c9
round2__retained__proof__mathd_algebra_323__seed1,round2,retained,proof,mathd_algebra_323,1,False,True,0.0021893399999999997,0.0062046,2,2,26229,22307,799,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,fff706ab936eb80c9295179338c41f526beb40a655fdd9452784944ffa97e85b,9982e0f597a1c614749fe0dc767ef256a6968f98790d7911c788a6614479b483,d90d99332efbafe2778f4286676ce884a622321834ee0957857dc4db7cffafbc,6f937eabdfc1277713e3c8910e86d39eba7b976962ff876f6be6961a19eaef3d
round2__revised__proof__mathd_algebra_323__seed1,round2,revised,proof,mathd_algebra_323,1,False,True,0.0013182,0.0042774,1,1,16443,16440,824,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,c82b145b55b79e8226c5f4fcd585bc83f3cf8ca905a38809165ee460070723f6,b79a27e53fdb21d5a1e0ad332961240a7e065e5a612a12f72decc8f04a1f23f3,823685cdc7d2a4d05d35dba58dceba3dad46e3bf76b554169f35b13f348b1720,d368a837d08dcd1ca18557d5d3bc5192db80764d93fec525b52b58f451ad2ec4
round2__revised__proof__aime_1988_p3__seed1,round2,revised,proof,aime_1988_p3,1,False,True,0.00174916,0.0047314,1,1,16571,16568,1181,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,5ccacea5abd7af79ba49873516a4ef2d6e3f22b70caf7ad9bdd0fc3d5ecbae3c,fc01ccb5c0d570f332e80995e3da97113053a3fad194baeb49652baa25fd4687,1a49985baee0008c99829ca4dac238cdaccbb558f0f4ee056a472620d82eb5db,39ea7557b8bc0282bfd0dadf8b0802b0a4d0cbd74c1575e10be7c7a0c9e4bc69
round2__retained__proof__aime_1988_p3__seed1,round2,retained,proof,aime_1988_p3,1,False,True,0.02869666,0.0489436,10,10,174542,112483,11696,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,dfde9af63c6759b42ecbc985aa96e44303b3d54bf4e7a17cb2d98aa6955be038,ba7cd30cc8401f1db62627467099517230f3fb2696e5b9881fb20ad52e397a83,166e368ea055a43cb65c47b421f029d4ea6fd3180cd323728d8a9225d5777db9,9ed8d9d72a5079f77625f2933660ab55b923e54bf8c02476111389f9ef58bcb5
round2__retained__proof__imo_1963_p5__seed1,round2,retained,proof,imo_1963_p5,1,False,True,0.0107776,0.039408399999999996,12,12,172784,159060,4043,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,f57e0dc7f30c12c340e37511db09e008d844d0eae3d57a6f0db37127a35ab909,cbc610b2b949efa2ba2fb12bf5e810c038bb25289e1a2d16fc9cce0a14ce2fcb,8ec5f10580d0eef217072a606557d1e1ca762724fb4d5dd336962685b7385934,c7091b40212228bd29aeba293632af093b75baf210ba3c7d99111f71202eedc8
round2__revised__proof__imo_1963_p5__seed1,round2,revised,proof,imo_1963_p5,1,False,False,0.064856,0.1437608,24,24,604306,438360,19083,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,731f2d54832926d0876fce6a5103627703809c64c3ae16b2e807c8aaf31e3070,5e879c4c9ce49cb50cb80c2aa558bf601f42d5de4429dd08c4771226c851526d,,0da80c54ce32de144f95ed9a3a6328b3fc4937876b739a372f1f398fc071fd6f
round2__revised__proof__amc12b_2004_p3__seed1,round2,revised,proof,amc12b_2004_p3,1,False,False,0.05906462,0.1218596,19,19,489058,348861,20040,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,139bbc1fd3b15bb8622b93920d25110a396f1d1131bb1d9a53ec30ad34722faa,b47764f3430ecb7c05da224aece913c3eca14219a48e8cd9b042d0eef33d61fc,,1367cf2031c3f28675b830bffdcb7c51d54e65020143bb3c4a347eb9afb7cf47
round2__retained__proof__amc12b_2004_p3__seed1,round2,retained,proof,amc12b_2004_p3,1,False,False,0.06464376,0.1267128,25,25,513576,344828,19998,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,65650b94a068b0d752dc978d01924ab359500a0f8ad590dc1885123c73f27230,ce349a5826e18e92619718145c5bf4c9282d2fc0c53cacee43b49a25d63c08f5,,008a65c2291be2ebe9007c891f3de3e9fbcd18d51ebbe500e50ddf72e61b7b84
round2__retained__proof__mathd_algebra_206__seed1,round2,retained,proof,mathd_algebra_206,1,False,True,0.00048277999999999993,0.0026084,1,1,11812,11809,205,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,a3506057e1014c9a00a3d3b1b25a3e1ea7576cd9c54119ee8b98f029f447c0ba,7712ad3caadb49fe06f2fa8c0b4236d3c28c11afb9c1d89b950fbc1ab6141925,0410b9cd883159a97dedba6b224d501eed3bbb1b81e3bdab1f3f3438be23e1eb,be1ce9903785b51c9d622391fe87d81cfb6d61026d85d3313ad22d20a1a11f6b
round2__revised__proof__mathd_algebra_206__seed1,round2,revised,proof,mathd_algebra_206,1,False,True,0.00060766,0.0035655999999999995,1,1,16436,16433,232,7fc4d715d2736dc19ee1e76fe2b86893ca019ed2c5c3616ba3c6d4bc1de1c001,4d4acc7a13aa7f5bd8df8df8fb2e65cf1019f50db0149763c863e40d0b216048,26b343bb4775892a9204f62824b9401a153f04e80332f70dd586db12d1225f57,41335dafaf011b8bce775e3bf7b10f2be456ed70ab9436f88981257221c17f93,3f474d91e593973909ad409382c5be87a65a8c3635b9d975dea80219e0c128be
validation__ace_historical__proof__mathd_algebra_282__seed0,validation,ace_historical,proof,mathd_algebra_282,0,False,False,0.0509899,0.2983594,49,49,1448177,1374275,7270,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,ac8539e9d1c0451d73afad549abf66109980badafb6383712b2c27e10386845c,2c54b034456fbfe63cf3b3ca0573395c67917e1351418b2191020c1976fe003d,,43d91f96a050ad856643bd1b4b3309cec8260c89f1b75e7173560c36104e668e
validation__ace_selected__proof__mathd_algebra_282__seed0,validation,ace_selected,proof,mathd_algebra_282,0,False,False,0.04440528,0.2995236,55,55,1453992,1417324,7271,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,b4dd5a3efa2948524ce40e0f7452dd132d4370bd10536ced464881be1f259de1,7e01a7bb6a9625c6720696b4ef01fac5d1ff3424506112b3e96ff76c9d5862f3,,fdcc21ed216a573aebe34bf187e6da82559fee9998b44800dc845fe7674492ed
validation__nonace_matched__proof__mathd_algebra_282__seed0,validation,nonace_matched,proof,mathd_algebra_282,0,False,False,0.04777984,0.3052936,59,59,1482224,1430632,7374,,8084747c53179d1742dcf4db56ae9690477602d67fe27a416034982f353a0d8c,94d5fb4f83363fbfe6652ff00913c64dec5e2190c6e9903857d36d6681a30351,,39ca31b33a5de12f698fb1522b632fb9b5a221842a4749a54879739b8794b51f
validation__nonace_ordinary__proof__mathd_algebra_282__seed0,validation,nonace_ordinary,proof,mathd_algebra_282,0,False,False,0.03247804,0.11651139999999999,31,31,537197,466852,7560,,af7f3a39108a5be8f2eaa31d4e44d33410321899d915fd84c435b9fee8f650c1,075495c360d27203f09027839489b9889eada9cc4b43aed87162320df6fa0ad2,,9c0f817e34ebac76305cecda451c78dc335c03ed974483f13e6410e7459379d9
validation__ace_selected__proof__mathd_numbertheory_33__seed0,validation,ace_selected,proof,mathd_numbertheory_33,0,False,True,0.00066942,0.0025578,1,1,11649,10491,190,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,f55cfa7fcbc9da428109effd1ab2cd04ec33651364f3d0a44f72ab7abf3c35ca,f5276e6c66f2db45cd462150d5923875862e62bdcf04296735335f22688752fb,6b94dab8dd80316c060abec75d099eb727e0cdd8e0928e65fef2e7eee6b28255,2f9eb398a9cce99a9abfba1892403e71f9c0cb28f5406d3e61f59ccf887b472c
validation__nonace_matched__proof__mathd_numbertheory_33__seed0,validation,nonace_matched,proof,mathd_numbertheory_33,0,False,True,0.0020786,0.005370799999999999,5,5,21802,18290,842,,bb0d9f5ac3a119ba34ad5b5deb38629fd370ea93b0c1666e417a9c14d9386319,18783ac3e5494cf76cb14c8036474c58ca23737b1fb6726cf93894344bc5cc11,fef548ff3894a2af6383e70f44b3e0853fd05a4e2898883c7f1d72b13febdfe9,8836c681d7d98cd2fa08eb8afe267dc8e66f791e3bf34da0cdb966a35730a7ef
validation__nonace_ordinary__proof__mathd_numbertheory_33__seed0,validation,nonace_ordinary,proof,mathd_numbertheory_33,0,False,True,0.00278588,0.0065162,5,5,24175,20724,1401,,68203d9ea363fa76a368811eb42979006b43ba53db0f360e668cf8d1a5676cc0,55609ea2cfa86d7f0745c5c78c5e40eb0baf4658d9f3667df0ef8e09e48e81bc,13d8678906fb4ed973650b8d0850ca93623b59a094af0c048fee6d4e518256ed,fae5d228d60b71131751c9d5134088070195dd02df95ac60e995b1119eed5ad6
validation__ace_historical__proof__mathd_numbertheory_33__seed0,validation,ace_historical,proof,mathd_numbertheory_33,0,False,True,0.0009117800000000001,0.0028376,2,2,12088,10699,350,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,1a38d02973369767e0ddab89cdd0aac55312553d475aee9907616f1356fe37d2,160bc57eb53388aed9515f48dc42fe748b838e5feac5f2ea94c872db9802920c,c707326ed93317fbcc89aa8dce2427cff9622bf476e45738c48f67a39f2e0001,c964302aa4a3a093aa6eadad539b27384a87f6224378bf6c2c233a0e9d9f0cc8
validation__nonace_matched__proof__amc12a_2002_p6__seed0,validation,nonace_matched,proof,amc12a_2002_p6,0,False,True,0.00027833999999999997,0.0009636,1,1,3810,3807,168,,d15a4ab36f1fbf999fd405ba8bbea297bef39d5df2342b3a36f5bd747a12eebc,71785ecaaa53ecdca5cfe4dd0e61d3ef55886f4b03305502e5370aad4b17b1c5,d805729d83dad17451961b46f91315f5d19411abb06eb714d230cc6611018b16,791a526db0f7599a79eb792acf3ab160478c0dd080c4f12f442643ca50eb15da
validation__nonace_ordinary__proof__amc12a_2002_p6__seed0,validation,nonace_ordinary,proof,amc12a_2002_p6,0,False,True,0.0009312,0.0009312,1,1,3810,0,141,,bb42dfafcfa364d8045fe9ee86464c6c0fdd375282f748ce744c1b6d47b026e3,cfee4a417a04293a50752909624a6d0cfff2ee681ec90f860bfb4e661a6f4d5c,21b7cb2e212bc39d0c7ffd91d76d812acfc563db734029e3278c03b756a3148d,ee100c7a0a0020096eabbd245fdc6afe47397ef4155c6c9908a792898a9ef6aa
validation__ace_historical__proof__amc12a_2002_p6__seed0,validation,ace_historical,proof,amc12a_2002_p6,0,False,True,0.00055684,0.0014158,1,1,6005,4772,179,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,55dd226da8c8261e4e22896bcdfe7d6fe44bb32c3ec4a2eda263664fac934f79,51ae56268a1c4cc01906d38f22992f60b2a79b4b3a85e31409a43444f9a9d63b,21b7cb2e212bc39d0c7ffd91d76d812acfc563db734029e3278c03b756a3148d,5c229c2111b4a8417cf917df4651c2e5e7f798660880d77eee73c2704d0fff64
validation__ace_selected__proof__amc12a_2002_p6__seed0,validation,ace_selected,proof,amc12a_2002_p6,0,False,True,0.00061122,0.0024996,1,1,11724,10491,129,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,d5c4828bc701183b2c3b5c385f6ada7277f21e8ada70a3ee51188397c9b94db1,02fb280cd69414dcc79072efee812a9d709ac91723a7db1699fdda58876313ae,21b7cb2e212bc39d0c7ffd91d76d812acfc563db734029e3278c03b756a3148d,5b6266142adc709136427ff56067e3ede30a44978c16c83d069887ff0df5185a
validation__nonace_ordinary__proof__mathd_algebra_433__seed0,validation,nonace_ordinary,proof,mathd_algebra_433,0,False,True,0.0027532200000000002,0.005721599999999999,5,5,23700,16491,818,,3fe5a88e7ce62d8fdc4d69f9e25c31e4ae4c30875caa26e98eaaa6271294e79f,ceb82b9928b73d20db5288385294ac990adac149459f0f1b654c608fd7573e6d,1c35ab6b7c710eb1c0c3c339d6a6a0b8452ae9d69bd62079842708d14289d056,9170afa7fe52ec66f4654eafb4ba5912c9a607433954762239a37a403b1cc4b3
validation__ace_historical__proof__mathd_algebra_433__seed0,validation,ace_historical,proof,mathd_algebra_433,0,False,True,0.0015754799999999998,0.0032934,2,2,14271,9544,366,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,3f652d767950c0502012e5adbf2cfa7b0589afe20923c4d735226c152d1b1be7,9e86bf6bec18a5e44b14864b6b3361c6d6c2784cecde43829919971d526da1af,31b3907557402fc33d3e775b857926fd411546c7234b6b94417800e151a3b853,12937525ca74c18325aff9902590d9bcc80412d7ace47ade37b84fd40fc1c5f3
validation__ace_selected__proof__mathd_algebra_433__seed0,validation,ace_selected,proof,mathd_algebra_433,0,False,True,0.0031351,0.014621799999999999,5,5,69083,63815,671,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,96501e2d28c59c5971bf6a3df370ef54dc80f63e6905f01ceee3983b00116acf,9da30b75d16bb3bd83684b41f4c45750639dcb78f37b653fcd1e2df3429f8778,c06b23b0fadd5c7608d41364a0801e4bf49e3de1f6cf948b320e2b0162d96e37,b972bc3c129f37808a6b66b5e0a04d4144a30c5cb38f6424d4a9cf2b47666f28
validation__nonace_matched__proof__mathd_algebra_433__seed0,validation,nonace_matched,proof,mathd_algebra_433,0,False,True,0.0032808399999999997,0.006078399999999999,5,5,24818,15542,929,,8394d31aff84183dbd70683f3abb3367cb43c2601c8535005315df7c1293523d,4f3bd4a6aa5a3338bd3846461c1d72d53f10de425e17336c62d87041e6e8dbe2,295eb7f3c40d0ee2ba16e33d83d91ba044f258c10e1784f22bfd0789af834880,83f44eb029aed1534336e4970b22ec8253e70d0a87dfe528c45be70f6ebfe9ff
validation__ace_historical__proof__mathd_numbertheory_43__seed0,validation,ace_historical,proof,mathd_numbertheory_43,0,False,False,0.04571322,0.08518919999999999,23,23,329892,219311,16009,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,8a904d249fba53fcebe3befe8bb081d164ccbf10412858784a289099aa71fcc4,2cb28c346a125ea7def371c1512771c2363ba2231fa4350185e0bb97b25505fb,,96b7d21075694e8e2a7724eb6041b59aff97b4e9506fe45ad237210c5c39f390
validation__ace_selected__proof__mathd_numbertheory_43__seed0,validation,ace_selected,proof,mathd_numbertheory_43,0,False,False,0.02290906,0.1060588,28,28,487226,461943,7178,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,4b6172acfc4e5a602d19e3bde1d2fccc5a48f58fed900d7e18ca8affff5331b9,2a60fdfdb687df17d5bbe9fecbbed0862a965523fdb8e438c4a57fae2a90ca47,,58f5c98f9fe390d8c57366f24bd11252ccda6cc4a86f375924d9ca2f9df19dd5
validation__nonace_matched__proof__mathd_numbertheory_43__seed0,validation,nonace_matched,proof,mathd_numbertheory_43,0,False,False,0.02192104,0.049500999999999996,19,19,189881,153222,9604,,00f0af5b75d698a93c696f9d18d00a3ef16f30763b9906d6225e2b9a7ef2897c,04e021888a9c0245b1059fd3fa3d7df0021400f7ac21d4d29ed6409894f88535,,51dcd47ade5e5bdd5a5911b127790e4e7e0e6bcaa034bfeae1bfb7fcd0024bf6
validation__nonace_ordinary__proof__mathd_numbertheory_43__seed0,validation,nonace_ordinary,proof,mathd_numbertheory_43,0,False,False,0.021430039999999997,0.042105199999999995,17,17,160540,114862,8331,,3611d833e6639b87b618f2dc535059973ea234325cebdec6b2287eab55067cc1,6a020a4427b083e064eef5f4c36b9052d02c7df16117478082c3d1360e7784d2,,f44fa92dd87b4afe4809f18370264a6ce2cfa204243521e01c3c979d56579aef
