cell,theorem,stage,arm,seed,solved,failed,cost,reference_solved,reference_cost,exposed,model_requests,proof_checks,input_tokens,cached_input_tokens,output_tokens,source
induction_prod1p1onk3le3m1onn__validation-A__gpt-5.6-luna__seed0,induction_prod1p1onk3le3m1onn,validation,A,0,True,False,0.06541443999999999,True,0.04039864,True,20,15,387218,170882,15608,experiments/output/resource_completion_20260913/validation/A/configs/induction_prod1p1onk3le3m1onn__validation-A__gpt-5.6-luna__seed0
mathd_algebra_190__validation-A__gpt-5.6-luna__seed0,mathd_algebra_190,validation,A,0,True,False,0.00047784,True,0.00030785999999999997,False,1,1,5946,4772,123,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_190__validation-A__gpt-5.6-luna__seed0
mathd_algebra_214__validation-A__gpt-5.6-luna__seed0,mathd_algebra_214,validation,A,0,True,False,0.00069144,True,0.00059424,False,1,1,6072,4772,280,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_214__validation-A__gpt-5.6-luna__seed0
mathd_algebra_234__validation-A__gpt-5.6-luna__seed0,mathd_algebra_234,validation,A,0,True,False,0.00052044,True,0.00035376,False,1,1,5961,4772,156,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_234__validation-A__gpt-5.6-luna__seed0
mathd_algebra_251__validation-A__gpt-5.6-luna__seed0,mathd_algebra_251,validation,A,0,True,False,0.0006714399999999999,True,0.00034186000000000004,False,1,1,5966,4772,281,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_251__validation-A__gpt-5.6-luna__seed0
mathd_algebra_282__validation-A__gpt-5.6-luna__seed0,mathd_algebra_282,validation,A,0,False,False,0.05012091999999998,False,0.03626396,True,62,42,1638176,1591086,7401,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_282__validation-A__gpt-5.6-luna__seed0
mathd_algebra_327__validation-A__gpt-5.6-luna__seed0,mathd_algebra_327,validation,A,0,True,False,0.00160756,True,0.0012978399999999998,False,4,1,27440,24438,432,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_327__validation-A__gpt-5.6-luna__seed0
mathd_algebra_393__validation-A__gpt-5.6-luna__seed0,mathd_algebra_393,validation,A,0,True,False,0.00704224,True,0.01220498,False,5,4,37349,29702,4099,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_393__validation-A__gpt-5.6-luna__seed0
mathd_algebra_421__validation-A__gpt-5.6-luna__seed0,mathd_algebra_421,validation,A,0,True,False,0.0015919999999999999,True,0.00162758,False,3,1,19723,17610,681,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_421__validation-A__gpt-5.6-luna__seed0
mathd_algebra_433__validation-A__gpt-5.6-luna__seed0,mathd_algebra_433,validation,A,0,True,False,0.0034333999999999996,True,0.0018152399999999999,False,5,3,36229,26320,771,experiments/output/resource_completion_20260913/validation/A/configs/mathd_algebra_433__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_284__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_284,validation,A,0,True,False,0.0005290399999999999,True,0.00047744,False,1,1,5980,4772,160,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_284__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_303__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_303,validation,A,0,False,False,0.059805300000000006,False,0.040026860000000004,True,30,14,566082,428735,19801,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_303__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_33__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_33,validation,A,0,True,False,0.00093198,True,0.00092788,False,2,1,12159,10699,355,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_33__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_37__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_37,validation,A,0,False,False,0.07080883999999998,False,0.01892836,True,56,12,967417,794152,16894,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_37__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_405__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_405,validation,A,0,False,False,0.06506696,False,0.040541839999999996,True,16,12,270661,95938,23503,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_405__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_43__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_43,validation,A,0,False,False,0.0638659,False,0.0190502,True,32,16,504752,343365,20601,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_43__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_461__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_461,validation,A,0,True,False,0.00063084,True,0.0006368400000000001,False,1,1,5997,4772,242,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_461__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_530__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_530,validation,A,0,False,False,0.07154466,False,0.03573844,True,35,11,702642,491083,16176,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_530__validation-A__gpt-5.6-luna__seed0
mathd_numbertheory_64__validation-A__gpt-5.6-luna__seed0,mathd_numbertheory_64,validation,A,0,True,False,0.015594879999999998,True,0.006142159999999999,False,18,5,175721,144754,5422,experiments/output/resource_completion_20260913/validation/A/configs/mathd_numbertheory_64__validation-A__gpt-5.6-luna__seed0
aime_1984_p7__validation-B__gpt-5.6-luna__seed0,aime_1984_p7,validation,B,0,False,False,0.03965352,True,0.021000719999999997,True,15,12,192663,119006,18785,experiments/output/resource_completion_20260913/validation/B/configs/aime_1984_p7__validation-B__gpt-5.6-luna__seed0
aime_1989_p8__validation-B__gpt-5.6-luna__seed0,aime_1989_p8,validation,B,0,True,False,0.0002916,True,0.000312,False,1,1,6573,6570,133,experiments/output/resource_completion_20260913/validation/B/configs/aime_1989_p8__validation-B__gpt-5.6-luna__seed0
aime_1991_p6__validation-B__gpt-5.6-luna__seed0,aime_1991_p6,validation,B,0,False,False,0.033530399999999995,False,0.034694520000000006,True,20,3,261027,206430,15402,experiments/output/resource_completion_20260913/validation/B/configs/aime_1991_p6__validation-B__gpt-5.6-luna__seed0
aime_1991_p9__validation-B__gpt-5.6-luna__seed0,aime_1991_p9,validation,B,0,False,False,0.0387227,True,0.035652699999999996,True,17,13,244156,128985,10924,experiments/output/resource_completion_20260913/validation/B/configs/aime_1991_p9__validation-B__gpt-5.6-luna__seed0
algebra_others_exirrpowirrrat__validation-B__gpt-5.6-luna__seed0,algebra_others_exirrpowirrrat,validation,B,0,False,False,0.04184630000000001,False,0.03667356,True,32,11,422899,296195,8818,experiments/output/resource_completion_20260913/validation/B/configs/algebra_others_exirrpowirrrat__validation-B__gpt-5.6-luna__seed0
amc12_2000_p12__validation-B__gpt-5.6-luna__seed0,amc12_2000_p12,validation,B,0,False,False,0.0408939,True,0.01450842,True,23,17,260133,164075,15334,experiments/output/resource_completion_20260913/validation/B/configs/amc12_2000_p12__validation-B__gpt-5.6-luna__seed0
amc12_2001_p21__validation-B__gpt-5.6-luna__seed0,amc12_2001_p21,validation,B,0,True,False,0.00630084,False,0.03846148,True,6,4,41610,34642,3512,experiments/output/resource_completion_20260913/validation/B/configs/amc12_2001_p21__validation-B__gpt-5.6-luna__seed0
amc12a_2002_p6__validation-B__gpt-5.6-luna__seed0,amc12a_2002_p6,validation,B,0,True,False,0.0024866199999999997,True,0.00055204,True,5,5,29870,26681,1096,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2002_p6__validation-B__gpt-5.6-luna__seed0
amc12a_2008_p4__validation-B__gpt-5.6-luna__seed0,amc12a_2008_p4,validation,B,0,False,False,0.0383506,True,0.0091323,True,17,8,331763,197060,6224,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2008_p4__validation-B__gpt-5.6-luna__seed0
amc12a_2013_p8__validation-B__gpt-5.6-luna__seed0,amc12a_2013_p8,validation,B,0,True,False,0.010585679999999998,True,0.0056448,True,16,4,134823,123114,4818,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2013_p8__validation-B__gpt-5.6-luna__seed0
amc12a_2016_p3__validation-B__gpt-5.6-luna__seed0,amc12a_2016_p3,validation,B,0,True,False,0.013888779999999996,True,0.00671758,True,9,6,97727,55659,3635,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2016_p3__validation-B__gpt-5.6-luna__seed0
amc12a_2019_p21__validation-B__gpt-5.6-luna__seed0,amc12a_2019_p21,validation,B,0,False,False,0.041224779999999996,False,0.040915639999999996,True,21,9,368237,223679,6533,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2019_p21__validation-B__gpt-5.6-luna__seed0
amc12a_2020_p21__validation-B__gpt-5.6-luna__seed0,amc12a_2020_p21,validation,B,0,False,False,0.02736382,False,0.0363663,True,41,3,620165,595831,8817,experiments/output/resource_completion_20260913/validation/B/configs/amc12a_2020_p21__validation-B__gpt-5.6-luna__seed0
amc12b_2002_p3__validation-B__gpt-5.6-luna__seed0,amc12b_2002_p3,validation,B,0,True,False,0.012381,True,0.005691659999999999,True,9,4,102627,68080,3425,experiments/output/resource_completion_20260913/validation/B/configs/amc12b_2002_p3__validation-B__gpt-5.6-luna__seed0
amc12b_2003_p6__validation-B__gpt-5.6-luna__seed0,amc12b_2003_p6,validation,B,0,True,False,0.01895806,True,0.023090899999999998,True,14,8,130034,89333,7526,experiments/output/resource_completion_20260913/validation/B/configs/amc12b_2003_p6__validation-B__gpt-5.6-luna__seed0
amc12b_2020_p5__validation-B__gpt-5.6-luna__seed0,amc12b_2020_p5,validation,B,0,True,False,0.00029991999999999996,True,0.00033951999999999995,False,1,1,6209,6206,146,experiments/output/resource_completion_20260913/validation/B/configs/amc12b_2020_p5__validation-B__gpt-5.6-luna__seed0
imo_1960_p2__validation-B__gpt-5.6-luna__seed0,imo_1960_p2,validation,B,0,True,False,0.010638879999999998,True,0.00632444,True,14,6,116051,96834,4049,experiments/output/resource_completion_20260913/validation/B/configs/imo_1960_p2__validation-B__gpt-5.6-luna__seed0
imo_1964_p2__validation-B__gpt-5.6-luna__seed0,imo_1964_p2,validation,B,0,True,False,0.019013099999999998,True,0.013769059999999998,True,12,11,113337,68035,7160,experiments/output/resource_completion_20260913/validation/B/configs/imo_1964_p2__validation-B__gpt-5.6-luna__seed0
imo_1969_p2__validation-B__gpt-5.6-luna__seed0,imo_1969_p2,validation,B,0,False,False,0.0400001,False,0.03866375999999999,True,18,10,266704,176795,15402,experiments/output/resource_completion_20260913/validation/B/configs/imo_1969_p2__validation-B__gpt-5.6-luna__seed0
imo_1981_p6__validation-B__gpt-5.6-luna__seed0,imo_1981_p6,validation,B,0,True,False,0.00525694,True,0.0078697,True,7,4,50903,40867,2027,experiments/output/resource_completion_20260913/validation/B/configs/imo_1981_p6__validation-B__gpt-5.6-luna__seed0
imo_1984_p6__validation-B__gpt-5.6-luna__seed0,imo_1984_p6,validation,B,0,False,False,0.01648086,False,0.033171280000000004,True,13,6,136827,106083,6842,experiments/output/resource_completion_20260913/validation/B/configs/imo_1984_p6__validation-B__gpt-5.6-luna__seed0
induction_prod1p1onk3le3m1onn__validation-B__gpt-5.6-luna__seed0,induction_prod1p1onk3le3m1onn,validation,B,0,False,False,0.03826433999999999,True,0.04039864,True,20,12,292728,161667,7349,experiments/output/resource_completion_20260913/validation/B/configs/induction_prod1p1onk3le3m1onn__validation-B__gpt-5.6-luna__seed0
mathd_algebra_190__validation-B__gpt-5.6-luna__seed0,mathd_algebra_190,validation,B,0,True,False,0.00035826,True,0.00030785999999999997,False,1,1,5946,5943,199,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_190__validation-B__gpt-5.6-luna__seed0
mathd_algebra_214__validation-B__gpt-5.6-luna__seed0,mathd_algebra_214,validation,B,0,True,False,0.00038118,True,0.00059424,False,1,1,6072,6069,216,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_214__validation-B__gpt-5.6-luna__seed0
mathd_algebra_234__validation-B__gpt-5.6-luna__seed0,mathd_algebra_234,validation,B,0,True,False,0.00032376,True,0.00035376,False,1,1,5961,5958,170,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_234__validation-B__gpt-5.6-luna__seed0
mathd_algebra_251__validation-B__gpt-5.6-luna__seed0,mathd_algebra_251,validation,B,0,True,False,0.0007174600000000001,True,0.00034186000000000004,False,1,1,5966,5963,498,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_251__validation-B__gpt-5.6-luna__seed0
mathd_algebra_282__validation-B__gpt-5.6-luna__seed0,mathd_algebra_282,validation,B,0,False,False,0.02847526,False,0.03626396,True,37,2,705926,674073,7186,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_282__validation-B__gpt-5.6-luna__seed0
mathd_algebra_327__validation-B__gpt-5.6-luna__seed0,mathd_algebra_327,validation,B,0,True,False,0.00153608,True,0.0012978399999999998,False,3,1,21391,18054,423,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_327__validation-B__gpt-5.6-luna__seed0
mathd_algebra_393__validation-B__gpt-5.6-luna__seed0,mathd_algebra_393,validation,B,0,True,False,0.0165308,True,0.01220498,True,17,11,174478,142600,6086,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_393__validation-B__gpt-5.6-luna__seed0
mathd_algebra_421__validation-B__gpt-5.6-luna__seed0,mathd_algebra_421,validation,B,0,True,False,0.0016898599999999998,True,0.00162758,True,3,2,18928,17363,858,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_421__validation-B__gpt-5.6-luna__seed0
mathd_algebra_433__validation-B__gpt-5.6-luna__seed0,mathd_algebra_433,validation,B,0,True,False,0.00163568,True,0.0018152399999999999,True,4,2,23527,22114,759,experiments/output/resource_completion_20260913/validation/B/configs/mathd_algebra_433__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_284__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_284,validation,B,0,True,False,0.00040814,True,0.00047744,False,1,1,5980,5977,240,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_284__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_303__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_303,validation,B,0,False,False,0.041200719999999996,False,0.040026860000000004,True,29,10,383570,290356,13959,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_303__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_33__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_33,validation,B,0,True,False,0.00076728,True,0.00092788,False,2,1,12189,11854,386,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_33__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_37__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_37,validation,B,0,False,False,0.025085580000000003,False,0.01892836,True,25,15,271374,207369,6781,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_37__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_405__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_405,validation,B,0,False,False,0.03422252,False,0.040541839999999996,True,16,11,266332,168246,9367,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_405__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_43__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_43,validation,B,0,False,False,0.03220987999999999,False,0.0190502,True,34,14,419377,358644,10742,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_43__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_461__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_461,validation,B,0,True,False,0.00035208,True,0.0006368400000000001,False,1,1,5997,5994,193,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_461__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_530__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_530,validation,B,0,False,False,0.04024966000000001,False,0.03573844,True,29,8,434249,311483,7889,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_530__validation-B__gpt-5.6-luna__seed0
mathd_numbertheory_64__validation-B__gpt-5.6-luna__seed0,mathd_numbertheory_64,validation,B,0,True,False,0.015369379999999998,True,0.006142159999999999,True,23,9,188134,165219,6235,experiments/output/resource_completion_20260913/validation/B/configs/mathd_numbertheory_64__validation-B__gpt-5.6-luna__seed0
